"Domain","Category ID","Category","Category definition","Category prominence n (%)","CSM dimension","Open code (Chinese)","Open code (English)","Open code status","Open code definition (CN)","Inclusion criteria (CN)","Key keywords (CN)"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-1","Diet, daily life and return to work","Resumption of ordinary life after treatment: returning to work, exercise and daily activity; postoperative dietary restriction and iodine management; retrospective accounts of the operation itself; and continuing attention to the extent of resection and the risk of recurrence.","280 (55.8)","Consequences","回归日常生活与工作","returning to daily life and work","in initial coding manual","恢复到手术前正常生活状态的过程","包括：重返工作、运动恢复、日常活动","上班/工作/运动/健身/体力/正常生活/日常"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-1","Diet, daily life and return to work","Resumption of ordinary life after treatment: returning to work, exercise and daily activity; postoperative dietary restriction and iodine management; retrospective accounts of the operation itself; and continuing attention to the extent of resection and the risk of recurrence.","280 (55.8)","Consequences","术后饮食限制与管理","postoperative dietary restriction and management","in initial coding manual","术后饮食禁忌与调整经历","包括：碘摄入限制、食物禁忌、饮食困惑","忌口/饮食/海鲜/海带/紫菜/豆制品/不能吃"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-1","Diet, daily life and return to work","Resumption of ordinary life after treatment: returning to work, exercise and daily activity; postoperative dietary restriction and iodine management; retrospective accounts of the operation itself; and continuing attention to the extent of resection and the risk of recurrence.","280 (55.8)","Consequences","手术相关经历叙述","retrospective account of the operation","added during coding (not in the initial manual; definition and criteria reconstructed from the coded material)","对手术本身过程的回顾性叙述（术前准备、手术当日、麻醉与住院经过），不含并发症与随访内容","包括：术前准备、住院与手术当日经过、麻醉体验、出院流程的回顾性描述。不包括：并发症与躯体后遗症（归 D1-4）、随访与复查安排（归 D1-2）","手术/开刀/住院/麻醉/术前/当天/出院"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-1","Diet, daily life and return to work","Resumption of ordinary life after treatment: returning to work, exercise and daily activity; postoperative dietary restriction and iodine management; retrospective accounts of the operation itself; and continuing attention to the extent of resection and the risk of recurrence.","280 (55.8)","Consequences","手术结果与复发关注","concern about surgical outcome and recurrence","in initial coding manual","对手术切除范围和复发风险的持续关注","包括：全切/半切结果评估、淋巴转移关注","全切/半切/淋巴/转移/复发/残余"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-2","Medication and surveillance management","Management of lifelong thyroid hormone replacement and structured follow-up: levothyroxine dose adjustment, missed doses and TSH targets; the scheduling and interpretation of surveillance visits including Tg/TgAb and thyroid function; and the experience of radioiodine therapy.","224 (44.6)","Cure/Control (action)","优甲乐用药管理","levothyroxine dosing and management","in initial coding manual","关于甲状腺激素替代药物的用药经历","包括：剂量调整、漏服处理、TSH目标值讨论","优甲乐/TSH/促甲状腺/剂量/服药"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-2","Medication and surveillance management","Management of lifelong thyroid hormone replacement and structured follow-up: levothyroxine dose adjustment, missed doses and TSH targets; the scheduling and interpretation of surveillance visits including Tg/TgAb and thyroid function; and the experience of radioiodine therapy.","224 (44.6)","Cure/Control (action)","术后随访与复查管理","scheduling and interpretation of follow-up visits","in initial coding manual","定期复查的安排、结果解读","包括：复查频率、Tg/TgAb检测、甲功解读","复查/随访/超声/Tg/TG/甲功/复诊"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-2","Medication and surveillance management","Management of lifelong thyroid hormone replacement and structured follow-up: levothyroxine dose adjustment, missed doses and TSH targets; the scheduling and interpretation of surveillance visits including Tg/TgAb and thyroid function; and the experience of radioiodine therapy.","224 (44.6)","Cure/Control (action)","碘131治疗经历","experience of radioiodine (I-131) therapy","in initial coding manual","接受碘131放射治疗的全过程经历","包括：治疗决策、副作用、隔离经历、效果评估","碘131/I131/放射碘/碘治疗/低碘饮食"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-3","Psychological adaptation","The emotional work of living after treatment: fluctuation and adjustment of mood including anxiety, fear and low mood; the construction of a positive narrative through gratitude, optimism and meaning-making; and the effect of the diagnosis on family relationships and experience of social stigma.","187 (37.3)","Consequences; Emotional representation","心理情绪适应历程","course of emotional adjustment","in initial coding manual","术后情绪波动与心理适应过程","包括：焦虑、恐惧、抑郁、情绪重建","焦虑/害怕/担心/恐惧/崩溃/心态/抑郁/情绪"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-3","Psychological adaptation","The emotional work of living after treatment: fluctuation and adjustment of mood including anxiety, fear and low mood; the construction of a positive narrative through gratitude, optimism and meaning-making; and the effect of the diagnosis on family relationships and experience of social stigma.","187 (37.3)","Consequences; Emotional representation","积极心态建构","constructing a positive narrative","in initial coding manual","形成积极应对疾病的心理叙事","包括：感恩、乐观、意义重构、""幸运""叙事","积极/乐观/感恩/感悟/想通/豁达/幸运"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-3","Psychological adaptation","The emotional work of living after treatment: fluctuation and adjustment of mood including anxiety, fear and low mood; the construction of a positive narrative through gratitude, optimism and meaning-making; and the effect of the diagnosis on family relationships and experience of social stigma.","187 (37.3)","Consequences; Emotional representation","家庭关系与社会歧视","family relationships and social stigma","in initial coding manual","癌症对家庭关系和社会交往的影响","包括：伴侣关系、婚育歧视、家庭压力","家人/父母/男友/女友/歧视/嫁/婚"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-4","Symptom burden and functioning","Physical sequelae of surgery or ablation and their effect on functioning: wound healing and scar management; hoarseness and recurrent laryngeal nerve injury; hypocalcaemia and parathyroid dysfunction; restricted neck movement and swallowing difficulty; and change in weight, hair and appearance.","167 (33.3)","Consequences","术后伤口与疤痕护理","postoperative wound and scar care","in initial coding manual","关于手术切口愈合、疤痕管理的内容","包括：疤痕外观、增生、护理产品使用、防晒","伤疤/疤痕/伤口/增生/祛疤/疤克/施可复"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-4","Symptom burden and functioning","Physical sequelae of surgery or ablation and their effect on functioning: wound healing and scar management; hoarseness and recurrent laryngeal nerve injury; hypocalcaemia and parathyroid dysfunction; restricted neck movement and swallowing difficulty; and change in weight, hair and appearance.","167 (33.3)","Consequences","声音/喉返神经并发症","hoarseness and recurrent laryngeal nerve complications","in initial coding manual","术后出现声音嘶哑、发音困难的经历","包括：声带损伤、嗓音变化、语音康复","声音嘶哑/嗓子/喉返神经/声带/失声"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-4","Symptom burden and functioning","Physical sequelae of surgery or ablation and their effect on functioning: wound healing and scar management; hoarseness and recurrent laryngeal nerve injury; hypocalcaemia and parathyroid dysfunction; restricted neck movement and swallowing difficulty; and change in weight, hair and appearance.","167 (33.3)","Consequences","低钙血症与甲状旁腺","hypocalcaemia and parathyroid dysfunction","in initial coding manual","术后出现低钙相关症状的经历","包括：手足麻木、抽搐、补钙治疗","低钙/手足麻/抽搐/甲状旁腺/补钙/钙片"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-4","Symptom burden and functioning","Physical sequelae of surgery or ablation and their effect on functioning: wound healing and scar management; hoarseness and recurrent laryngeal nerve injury; hypocalcaemia and parathyroid dysfunction; restricted neck movement and swallowing difficulty; and change in weight, hair and appearance.","167 (33.3)","Consequences","颈部功能障碍","restricted neck movement and swallowing","in initial coding manual","颈部活动受限、吞咽困难等功能问题","包括：颈部僵硬、活动受限、吞咽困难","吞咽困难/脖子僵/颈部活动受限"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-4","Symptom burden and functioning","Physical sequelae of surgery or ablation and their effect on functioning: wound healing and scar management; hoarseness and recurrent laryngeal nerve injury; hypocalcaemia and parathyroid dysfunction; restricted neck movement and swallowing difficulty; and change in weight, hair and appearance.","167 (33.3)","Consequences","体重与外貌变化","change in weight and appearance","in initial coding manual","术后体重和外貌改变的经历","包括：发胖、脱发、体型改变","体重/发胖/胖了/减重/脱发/掉发"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-5","Peer support and reproductive planning","Support obtained from others in the same situation and the reproductive concerns specific to this population: exchange of experience and mutual help within patient communities and groups; and the timing of conception, monitoring during pregnancy and medication while breastfeeding.","82 (16.3)","Consequences","生育计划与女性健康","fertility planning and women's health","in initial coding manual","甲状腺手术与生育相关的讨论","包括：备孕时间、孕期监测、哺乳期用药","怀孕/备孕/妊娠/生育/哺乳/月经/孩子"
"Domain 1: Postoperative daily life (n = 502 coded posts)","D1-5","Peer support and reproductive planning","Support obtained from others in the same situation and the reproductive concerns specific to this population: exchange of experience and mutual help within patient communities and groups; and the timing of conception, monitoring during pregnancy and medication while breastfeeding.","82 (16.3)","Consequences","病友社群与信息分享","patient community and information sharing","in initial coding manual","通过病友社群获取支持和信息的经历","包括：经验分享、互助、群组交流","病友/群/论坛/分享/经验/互助"
